Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
Football Men's Football,23.46360582306831,15.0,40.0,177.4803386127799,140.0,200.0,73.08664412510566,28.0,100.0,5733
Hockey Men's Hockey,25.86627597229622,16.0,44.0,176.85257731958762,150.0,200.0,73.34376086200903,48.0,105.0,3958
Water Polo Men's Water Polo,25.736542115262825,14.0,45.0,186.80173913043478,154.0,206.0,87.7061717352415,61.0,125.0,3358
Basketball Men's Basketball,25.24628312863607,16.0,40.0,194.87262357414448,163.0,226.0,91.68352893565358,59.0,156.0,3280
"Cycling Men's Road Race, Individual",24.991036213696667,16.0,42.0,176.73163972286375,138.0,200.0,69.34266227657572,48.0,95.0,2947
Gymnastics Men's Individual All-Around,24.62242152466368,14.0,44.0,167.6349315068493,150.0,185.0,63.34862385321101,48.0,87.0,2500
Rowing Men's Coxed Eights,24.89948574100047,11.0,51.0,187.49544498948845,150.0,209.0,84.34501718213059,45.0,137.0,2302
Handball Men's Handball,26.569902048085485,14.0,42.0,188.77837311251827,140.0,214.0,89.38791423001949,62.0,132.0,2264
Athletics Men's Marathon,29.00711548987411,16.0,52.0,172.20077972709552,148.0,200.0,60.27001312335958,42.0,106.0,1960
Athletics Men's 100 metres,23.854465270121278,15.0,40.0,176.85704419889504,153.0,198.0,71.99261083743842,50.0,102.0,1919
Volleyball Men's Volleyball,25.810475161987043,17.0,41.0,193.26565995525726,170.0,219.0,86.92592592592592,56.0,120.0,1861
Volleyball Women's Volleyball,24.431626701231366,15.0,39.0,179.49498327759198,153.0,204.0,69.33377926421404,30.0,98.0,1543
Gymnastics Women's Individual All-Around,19.0476812540823,13.0,38.0,156.03880597014924,127.0,179.0,47.68246802106847,25.0,72.0,1539
Hockey Women's Hockey,25.33241946538725,15.0,41.0,166.1252669039146,138.0,190.0,60.53093525179856,45.0,80.0,1459
Handball Women's Handball,25.88392213410238,15.0,43.0,174.84027777777777,153.0,198.0,68.87685113016367,48.0,105.0,1401
"Fencing Men's Foil, Individual",27.78841512469831,15.0,57.0,178.60168471720817,153.0,201.0,73.61614173228347,54.0,98.0,1357
"Fencing Men's epee, Individual",29.406779661016948,16.0,52.0,183.18059299191376,160.0,208.0,77.87012987012987,53.0,108.0,1258
Basketball Women's Basketball,25.51751592356688,16.0,37.0,182.45483613109513,161.0,213.0,73.68516984258493,50.0,128.0,1256
Athletics Men's 400 metres,23.816582914572866,16.0,37.0,179.9864472410455,160.0,201.0,71.72,51.0,99.0,1247
Athletics Men's 800 metres,23.933098591549296,13.0,36.0,179.0659793814433,155.0,196.0,67.51725941422595,49.0,85.0,1186
Rowing Men's Coxless Fours,25.191666666666666,16.0,44.0,189.52235294117648,167.0,207.0,88.06404230317274,63.0,110.0,1103
Rowing Men's Coxed Fours,24.36105476673428,13.0,47.0,183.5515625,132.0,205.0,80.71451876019576,41.0,109.0,1096
Swimming Men's 100 metres Freestyle,21.2972972972973,13.0,39.0,184.1933621933622,152.0,208.0,78.39247311827957,50.0,107.0,1064
Athletics Women's 100 metres,23.01421800947867,14.0,44.0,166.22043010752688,142.0,184.0,57.48538961038961,40.0,76.0,1063
"Equestrianism Mixed Jumping, Individual",33.82,18.0,65.0,175.3340425531915,150.0,195.0,69.65845824411134,43.0,95.0,1018
Football Women's Football,24.90909090909091,16.0,40.0,167.6761421319797,150.0,189.0,60.925813008130085,45.0,86.0,1012
Modern Pentathlon Men's Individual,26.625390218522373,16.0,53.0,179.30901287553647,152.0,198.0,72.31594634873323,56.0,91.0,1006
"Athletics Men's 5,000 metres",25.297237569060773,15.0,41.0,174.7758186397985,155.0,200.0,61.91941624365482,42.0,85.0,941
"Cycling Men's Team Pursuit, 4,000 metres",23.21,14.0,40.0,179.94685314685316,157.0,198.0,73.49859154929578,50.0,91.0,939
Sailing Mixed Three Person Keelboat,33.1766004415011,13.0,62.0,179.68571428571428,156.0,204.0,80.90196078431373,50.0,125.0,927
Baseball Men's Baseball,26.240761478163495,16.0,44.0,182.59929078014184,147.0,206.0,85.70779220779221,38.0,120.0,894
"Fencing Men's Sabre, Individual",28.67917675544794,16.0,63.0,180.01677852348993,160.0,199.0,76.49310344827586,48.0,98.0,892
